"ref_area.label","source.label","indicator.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Albania","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2009",8.053,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2008",7.071,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2007",10.602,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Albania","OE - Official Estimates","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2006",6.203,,,
"Albania","OE - Official Estimates","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2005",6.008,,,
"Albania","OE - Official Estimates","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2004",6.015,,,
"Albania","OE - Official Estimates","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2003",4.968,,,
"Albania","OE - Official Estimates","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2002",5.109,,,
"Albania","OE - Official Estimates","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2001",3.01,,,
"Albania","OE - Official Estimates","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2000",3.184,,,
"Netherlands Antilles","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2013",6.237,,,"Data reference period: October | Geographical coverage: Main city or metropolitan area | Population coverage: Excluding institutional population"
"Netherlands Antilles","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2011",6.362,,,"Data reference period: October | Geographical coverage: Main city or metropolitan area | Population coverage: Excluding institutional population"
"Netherlands Antilles","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2009",6.556,,,"Data reference period: October | Geographical coverage: Main city or metropolitan area | Population coverage: Excluding institutional population"
"Netherlands Antilles","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2008",6.961,,,"Data reference period: October | Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2007",7.043,,,"Data reference period: October | Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2006",6.801,,,"Data reference period: October | Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2005",6.712,,,"Data reference period: October | Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2004",7.569,,,"Data reference period: October | Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2003",7.852,,,"Data reference period: October | Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2002",8.333,,,"Data reference period: October | Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2000",8.953,,,"Data reference period: October | Geographical coverage: Main city or metropolitan area"
"United Arab Emirates","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2023",8.556,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2022",9.098,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2021",9.381,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2020",7.965,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2019",9.219,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2018",10.62,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2017",4.908,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2016",6.172,,,"Age coverage - maximum age: 65 years old"
"United Arab Emirates","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2008",8.691,,,"Data reference period: February"
"United Arab Emirates","PC - Population Census","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2005",8.048,,,"Data reference period: December"
"United Arab Emirates","OE - Official Estimates","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2000",10.962,,,
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2023",11.755,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2022",11.639,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2021",11.213,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2020",12.039,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2019",11.348,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2018",11.22,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2017",11.784,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2014",13.047,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2013",13.112,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2012",12.997,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2011",13.276,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2010",13.599,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2009",13.261,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2008",14.062,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2006",14.257,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2005",14.282,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2004",14.122,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2003",13.744,,"Break in series: Other or unspecified type of break","Data reference period: Second semester | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2002",13.168,,,"Data reference period: Incomplete year | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2001",13.9,,,"Data reference period: Incomplete year | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2000",13.985,,,"Data reference period: Incomplete year | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2023",8.704,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2022",10.172,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2021",8.212,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2020",8.824,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2019",9.513,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2018",9.253,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2017",9.135,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2016",8.269,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2015",7.851,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2014",8.343,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2013",8.384,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2012",7.971,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2011",6.916,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2010",5.863,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2009",6.184,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2008",10.133,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2007",6.857,,,"Population coverage: Including armed forces and/or conscripts | Age coverage - minimum age: 16 years old"
"Armenia","OE - Official Estimates","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2002",10.729,,,"Population coverage: Excluding armed forces and/or conscripts"
"American Samoa","PC - Population Census","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2010",16.568,,,"Age coverage - minimum age: 16 years old"
"American Samoa","PC - Population Census","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2000",35.291,,,"Age coverage - minimum age: 16 years old"
"Antigua and Barbuda","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2018",4.12,,,"Repository: ILO-STATISTICS - Micro data processing"
"Antigua and Barbuda","OE - Official Estimates","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2008",4.559,,,
"Antigua and Barbuda","OE - Official Estimates","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2007",4.56,,,
"Antigua and Barbuda","OE - Official Estimates","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2006",4.559,,,
"Antigua and Barbuda","OE - Official Estimates","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2005",4.558,,,
"Antigua and Barbuda","OE - Official Estimates","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2004",4.559,,,
"Antigua and Barbuda","OE - Official Estimates","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2003",4.559,,,
"Antigua and Barbuda","OE - Official Estimates","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2002",4.56,,,
"Antigua and Barbuda","PC - Population Census","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2001",4.253,,,"Data reference period: May"
"Australia","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2024",6.65,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2023",7.001,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2022",6.865,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2021",7.506,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2020",7.387,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2019",7.469,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2018",7.89,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2017",7.237,,,
"Australia","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2016",8.182,,,"Employment definition: Excluding own-use production workers | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Australia","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2015",8.23,,"Working time arrangement coverage: Full-time and part time workers","Employment definition: Other nonstandard definition | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Australia","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2014",8.688,,"Working time arrangement coverage: Full-time and part time workers","Employment definition: Other nonstandard definition | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Australia","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2013",8.053,,,
"Australia","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2012",8.376,,,
"Australia","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2011",8.473,,,
"Australia","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2010",8.904,,,
"Australia","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2009",9.264,,,
"Australia","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2008",10.512,,"Working time arrangement coverage: Full-time and part time workers","Employment definition: Other nonstandard definition | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Australia","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2007",10.601,,,"Repository: OECD"
"Australia","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2006",10.723,,,"Repository: OECD"
"Australia","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2005",11.03,,,"Repository: OECD"
"Australia","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2004",11.65,,,"Repository: OECD"
"Australia","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2003",11.778,,,"Repository: OECD"
"Australia","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2002",12.293,,,"Repository: OECD"
"Australia","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2001",12.374,,,"Repository: OECD"
"Australia","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2000",12.89,,,"Repository: OECD"
"Austria","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2023",16.585,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2022",16.779,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2021",16.631,,,"Repository: ILO-STATISTICS - Micro data processing"
